t,p,cat,arbr,pyrr,yields
11,22,3e-05,0.35,1.25,49.6790587
6,20,6e-05,0.35,1,32.0229727
9,22.5,1e-05,0.45,2,19.4126419
7,22,3e-05,0.5,1.75,51.5608475
12,23.5,3e-05,0.15,1,7.6540721
9,24,5e-05,0.2,1.75,52.0372991
6,23.5,5e-05,0.15,1.25,28.2065015
12,23.5,3e-05,0.25,1.25,50.7054572
8,24,9e-05,0.4,1.25,43.6538009
5,20,9e-05,0.4,1,27.2553818
10,21,5e-05,0.2,1.75,23.6991663
7,22.5,4e-05,0.5,2,43.9218785
9,24,2e-05,0.25,1.5,38.0390223
8,21.5,1e-05,0.25,1,21.0349952
9,23.5,0.0001,0.2,1.75,22.5863342
8,24,4e-05,0.35,1.75,69.6654966
8,24,4e-05,0.45,1.75,70.715798
8,24,4e-05,0.3,1.75,55.6214501
8,24,4e-05,0.25,1.75,26.1775526
8,24,4e-05,0.2,1.75,14.9700711
8,24,4e-05,0.4,1.75,74.2217666
8,24,4e-05,0.4,1.25,61.5768339
8,24,4e-05,0.4,1,47.2522388
8,24,4e-05,0.4,2,72.6171915
8,24,4e-05,0.4,1.5,68.8024542
8,19.5,2e-05,0.4,2,16.7493437
8,20,2e-05,0.4,2,19.770109
8,21,2e-05,0.4,2,23.3438968
8,22,2e-05,0.4,2,29.3834906
8,22.5,2e-05,0.4,2,31.0202202
8,24,1e-05,0.4,2,22.1381522
7,24,1e-05,0.4,2,18.8493716
12,24,1e-05,0.4,2,26.1095031
11,24,1e-05,0.4,2,22.8507983
10,24,1e-05,0.4,2,22.6852824
12,24,4e-05,0.4,2,85.7372115
12,19.5,4e-05,0.4,2,64.2122139
12,20.5,4e-05,0.4,2,72.9956299
12,21.5,4e-05,0.4,2,78.2956671
12,22,4e-05,0.4,2,80.6216032
12,24,5e-05,0.4,2,87.075563
11,24,5e-05,0.4,2,84.4046944
9,24,5e-05,0.4,2,81.6309899
8,24,5e-05,0.4,2,78.3769267
7,24,5e-05,0.4,2,73.577444
12,24,5e-05,0.35,2,91.3424902
12,23.5,5e-05,0.35,2,89.17785
12,22.5,5e-05,0.35,2,85.2337843
12,21.5,5e-05,0.35,2,82.1562853
12,21,5e-05,0.35,2,80.4005137
